,comments
1677,"High School is a reflection of terrible corporate structure. We need more companies with flat hierarchies like worker cooperatives, syndicates, and worker democracies."
1678,Two of my favorite dev streamers (the only ones I watch) in one video.
1679,So hard hearing how awful blizzard was when I loved their games so much back in the day.
1680,"My day job is a Web Developer, my hobby is game dev XD this is awesome."
1681,i know nothing about software but ngl QA does sound kinda gay
1682,This whole conversation at the end made me so happy
1683,TheSonicagen bringing us an amazing collab once again.
1684,"H1B is a non immigrant visa, its not meant as a come here and stay here forever sort of deal. Even a lot of the h1b visa we give we dont need to be giving out in a first place."
1685,glad i deleted all my blizzard sh*t a while back
1686,How much do people expect to earn by playing games? 😂 everybody wants big titles. QA engineer or data scientist instead of a tester or spreadsheet analyst <br>Blizzard released one of the best games ever. SC and Diablo are some of my favourites and yes devs are the rockstars.
1687,How Blizzard hasn&#39;t been shut down yet is unbelievable and despicable
1688,"Reminds me of hospitality in a lot of ways I&#39;ve been trying to get back into working after taking a break to go to uni for software dev but to me working is 7 days a week 16 hours a day, and I know that isn&#39;t normal but it makes me scared of having a job again, I like actually being able to see my wife and go to family events etc. (we had to fight for any days off even for funerals etc.) and in my head that is what a job is like."
1689,"Sure microsoft will patch that brain drain, they will just do it abroad. Asian and eastern European workers are on average just as good on individual level. What you might miss is organisational advantages like culture, communication and efficient processes.<br><br>If blizzard lacked those advantages to begin with, then finding equally talented individuals with substantially lower standards and costs of living is just a matter of time.<br><br>Companies can get away with undervaluing gifted workers with wrong color of a badge. They can get away with a lot more when undervaluing gifted people with wrong color of a skintone and passport."
1690,is that the guy that yt shorts algo blow ?
1691,"Wow, I want to see more of these 2 guys talking, omg!"
1692,No one actually said it but both circled around it a lot. Art needs an auteur.
1693,"Blizzard is seriously one of the worst companies ever, why anyone would want to work there in the last decade is beyond me"
1694,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=405"">6:45</a> this is why tech workers need to unionise"
1695,"The &quot;no upgrade path&quot; has been a common problem not only for QA.<br><br>When I still worked in France, if you were a programmer or an artists and needed a raise (because of house, kids, whatever...) the only possibility was to switch to a management position, which means indeed that you lose a talented technician and you get a shitty (in most cases) manager.<br><br>Dumb dumb dumb system."
1696,"Okay, this is going in the Favorites playlist."
1697,As a European i am very certain that the behavior of Blizzard was illegal and violates labor laws. And i think Chris could still get the 3 months worth of salary.
1698,"In the 90s Blizzard may have been the standard, though I would have picked id Software for the time, but in 2009 when he started Valve Software was definitely the moonshot for game developers, and I would say it remains to this day, though they don&#39;t work nearly as much on games anymore."
1699,"I worked in a datacenter for a few years, on the night shift. a position on day shift opens up, I&#39;m offered the position, being what is basically second in command and handling double or triple the workload. I ask, does it come with a pay increase, since it is a lot more work? nope. I refuse. btw, in the 5 years I worked at this company, not even a single raise. I snap on my boss due to stress, I&#39;m called into a meeting with hr, and I finally got a good raise. a month or few later I&#39;m laid off, because I was paid better."
1700,now ill wait for the tsoding collab
1701,"What a great conversation about real world stuff in corporate culture. In a lot of these scenarios people are treated as commodities, and interchangeable. Its sad but its all too common."
1702,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=4300"">1:11:40</a> HR will protect you if it&#39;s not in conflict with protecting the company, but of <b>course</b> HR has to protect the company first and foremost. If HR was willing to burn down the whole company in order to stand up for one person, that would objectively be worse for more people."
1703,Meh. Every generation has had to &quot;pay your dues&quot; when breaking into any growth industry. Labor is a free market and people in the labor market get to say what is acceptable and what is not. And the WAY they &quot;say&quot; is by accepting positions (or not) and staying at those positions (or not).<br><br>Going from zero dollars per hour to $10 per hour is an infinity percent upgrade. And (as illustrated by the story shared here) the position obtained may lead to career advancement and class mobility.<br><br>Don&#39;t throw down behind you the very same ladders you yourself used to climb to higher heights.
